Glycine dehydrogenase (decarboxylating)	1_4_4_2	NP_613061.1	0	glycine dehydrogenase (decarboxylating), mitochondrial precursor [Mus musculus]
Ornithine decarboxylase paralogue	odcp	XP_006503170.1	3.6e-183	PREDICTED: antizyme inhibitor 2 isoform X2 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	NP_766463.1	7.5e-183	antizyme inhibitor 2 isoform 1 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	XP_006503171.1	6.5e-146	PREDICTED: antizyme inhibitor 2 isoform X3 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	XP_006503169.1	2.1e-145	PREDICTED: antizyme inhibitor 2 isoform X1 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	NP_001288770.1	2.1e-143	antizyme inhibitor 2 isoform 2 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	XP_011238840.1	2.8e-143	PREDICTED: antizyme inhibitor 2 isoform X4 [Mus musculus]
Ornithine decarboxylase paralogue	odcp	XP_006520180.1	7.2e-89	PREDICTED: antizyme inhibitor 1 isoform X2 [Mus musculus]
Unassigned	putative	NP_666326.1	1.2e-260	tyrosine aminotransferase [Mus musculus]
Unassigned	putative	NP_001263639.1	5.9e-241	serine--pyruvate aminotransferase, peroxisomal isoform 2 [Mus musculus]
Unassigned	putative	NP_057911.2	7.1e-241	serine--pyruvate aminotransferase, mitochondrial isoform 1 precursor [Mus musculus]
Unassigned	putative	NP_803155.1	2.6e-231	phosphoserine aminotransferase isoform 1 [Mus musculus]
Unassigned	putative	NP_001192268.1	2.6e-221	phosphoserine aminotransferase isoform 2 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	NP_473398.1	2.6e-144	pyridoxal phosphate homeostasis protein isoform a [Mus musculus]
unclassified activities	uncharacterized_family_prosc	XP_006509044.1	1.6e-137	PREDICTED: proline synthase co-transcribed bacterial homolog protein isoform X1 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	XP_017168012.1	3.1e-133	PREDICTED: proline synthase co-transcribed bacterial homolog protein isoform X3 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	XP_006509045.1	6.7e-127	PREDICTED: proline synthase co-transcribed bacterial homolog protein isoform X2 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	XP_011240412.1	1e-121	PREDICTED: proline synthase co-transcribed bacterial homolog protein isoform X4 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	XP_006509046.1	7.1e-90	PREDICTED: proline synthase co-transcribed bacterial homolog protein isoform X5 [Mus musculus]
unclassified activities	uncharacterized_family_prosc	NP_001034166.1	1.8e-82	pyridoxal phosphate homeostasis protein isoform b [Mus musculus]
unclassified activities	uncharacterized_family_prosc	NP_001034167.1	3.5e-71	pyridoxal phosphate homeostasis protein isoform c [Mus musculus]
